Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website;;;;;;;;;;;
Iris;1345;202;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416; 4.3355;http://www.cantillon.be/;;;;;;;;;;
Ros̩ de Gambrinus;1346;202;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416; 4.3355;http://www.cantillon.be/;;;;;;;;;;
Oude Kriek;1347;630;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Hanssens Artisanal;Vroenenbosstraat 15;Dworp;Vlaams Brabant;Belgium;50.729; 4.2971;;;;;;;;;;;
Kriek-Lambic;1348;202;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416; 4.3355;http://www.cantillon.be/;;;;;;;;;;
Samichlaus Bier 2003;1349;1115;7;90;14;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Schloss Eggenberg;Eggenberg 1;Vorchdorf;;Austria;47.9904; 13.9238;;;;;;;;;;;
Nugget;135;562;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Full Sail Brewing #1;506 Columbia Street;Hood River;Oregon;United States;45.7103; -121.515;;;;;;;;;;;
Porter IV;1350;961;3;42;7;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Oy Sinebrychoff AB;Sinebrychoffinaukio 1;Kerava;;Finland;60.381; 25.1102;;;;;;;;;;
The Hairy Eyeball;1351;765;-1;-1;8;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Lagunitas Brewing Company;1280 North McDowell Boulevard;Petaluma;California;United States;38.2724; -122.662;http://www.lagunitas.com/;;;;;;;;;
Malheur MM;1352;276;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Landtsheer;Mandekenstraat 179;Buggenhout;Oost-Vlaanderen;Belgium;51.0228; 4.1572;;;;;;;;;;;
India Pale Ale;1353;586;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871; -87.6721;;;;;;;;;;;
Eastside Dark;1354;769;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Big Easy Beer;1355;769;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Old Knucklehead 2003;1356;255;-1;-1;9;100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;
Doppel-Hirsch Bavarian-Doppelbock;1357;659;7;90;7;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Hirschbru Privatbrauerei Hss;Grntenstrae 7;Sonthofen;Bayern;Germany;47.5132; 10.279;;;;;;;;;;
Bottle Conditioned Porter;1358;255;2;25;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;
Black Strap Stout;1359;255;3;42;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;;
American Pale Ale;136;1175;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Spanish Peaks Brewing;Polson MT 59860;Polson;Montana;United States;47.6959; -114.176;http://www.blackdogales.com/;;;;;;;;;;
Bavarian-Weissbier Hefeweisse / Weisser Hirsch;1360;659;4;50;5;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Hirschbru Privatbrauerei Hss;Grntenstrae 7;Sonthofen;Bayern;Germany;47.5132; 10.279;;;;;;;;;;
Celis White;1361;853;5;72;3;900000095;0;0;0;;This traditional Belgian Whitbierre is the multiple gold medal winning Pierre Celis original. White and cloudy in appearance; brewed with wheat and seasoned with orange peel and coriander. A refreshing unfiltered ale that is both sweet and tart.;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Michigan Brewing;1093 Highview Drive;Webberville;Michigan;United States;42.6616; -84.1946;http://www.michiganbrewing.com/;;;;;;;;
Bridgeport India Pale Ale;1362;255;3;31;5;5;0;0;0;;Our award-winning IPA sparkles with effervescence; the result of natural-conditioning; a process where the beer is double-fermented in each bottle; keg or cask. Brewed with a blend of five hop varieties; BridgePort IPA presents a floral; citrusy aroma and full hop flavor; while downplaying the bitterness.  The beer pours smooth in the glass; emitting its signature golden glow.;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;
Blue Heron Pale Ale;1363;255;-1;-1;4;900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;
ESB;1364;255;-1;-1;6;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;
Stille Nacht;1365;272;-1;-1;12;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Dolle Brouwers;Roeselarestraat 12b;Esen;West-Vlaanderen;Belgium;51.0281; 2.9038;http://www.dedollebrouwers.be/;;;;;;;;;;
Hop Pocket Ale;1366;1293;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Tuppers Hop Pocket Ale;6404 Redwing Road;Bethesda;Maryland;United States;38.9735; -77.1272;;;;;;;;;;;
Holiday Spice Lager Beer;1367;769;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Samuel Adams Utopias MMIV;1368;157;-1;-1;24;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Boston Beer Company;30 Germania Street;Boston;Massachusetts;United States;42.3144; -71.1034;http://www.samueladams.com/;;;;;;;;;;
Grand Cru 2003;1369;21;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;AleSmith Brewing;9368 Cabot Drive;San Diego;California;United States;32.892; -117.144;http://alesmith.com/;;;;;;;;;;
471 Extra ESB;137;236;-1;-1;7;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236; -105.001;http://www.breckbrew.com/;;;;;;;;;
Imperial Stout;1370;907;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;New Glarus Brewing Company;2400 State Highway 69;New Glarus;Wisconsin;United States;42.8171; -89.6306;http://www.newglarusbrewing.com/;;;;;;;;;;
7th Anniversary IPA;1371;1204;3;31;7;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Nora;1372;128;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Birrificia Le Baladin;Piazza V Luglio;15;Piozzo;;Italy;44.5153; 7.8922;;;;;;;;;;
Bellegems Bruin;1373;267;-1;-1;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Bockor;Kwabrugstraat 5;Bellegem;West-Vlaanderen;Belgium;50.7767; 3.2785;;;;;;;;;;
Bi̬re du Boucanier;1374;687;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;ICOBES b.v.b.a.;Durmakker 23;Evergem;Oost-Vlaanderen;Belgium;51.1007; 3.6934;;;;;;;;;;;
Porter Boom;1375;993;2;25;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Pivovar Pardubice a.s.;Palackho 250;Pardubice;;Czech Republic;50.0355; 15.762;;;;;;;;;;;
Bajuvator Doppelbock;1376;1290;7;90;7;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Tucher Bru;Schillerstrae 14;Nrnberg;Bayern;Germany;49.4643; 11.0847;;;;;;;;;;
Roundabout Oatmeal Stout;1377;520;1;21;6;0;0;0;;Everyone has their price. For some; it's measured in dollars per hour; for others it's powder days. For those that have the gift of passion for the dark side; it's measured in pints of Oatmeal Stout. Another one of FiftyFifty's seasonals; the Roundabout Oatmeal Stout is brown to black in color and nearly opaque. It has a velvet like mouthfeel; moderate hints of dark dried fruit; espresso beans and Dark Chocolate... and just a hint of hop bitterness. The addition of Flaked Oats gives this brew its wonderful creamy texture. Roundabout Oatmeal Stout is one of a series of Stouts that FiftyFifty Brewing Co. will produce during the course of the year. Enjoy!;0;2010-07-22 22:00:00+02:00;Oatmeal Stout;British Ale;Fifty Fifty Brewing Co.;11197 Brockway Road;Truckee;California;United States;39.322; -120.163;http://www.fiftyfiftybrewing.com/;;;;
Ale;1378;134;-1;-1;4;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Black Sheep Brewery;Wellgarth;Ripon;North Yorkshire;United Kingdom;;;;;;;;;;;;
Bombardier Premium Ale;1379;372;-1;-1;5;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Charles Wells Ltd.;Havelock Street;Bedford;Bedford;United Kingdom;52.1321; -0.4815;;;;;;;;;;
Odell Red Ale;138;935;3;33;6;5;0;0;0;;The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red.    We took the American-style red to a whole new level by adding a variety of aggressive American hops���giving this ale a distinctive fresh hop aroma and flavor.    We think you'll agree this red has some serious kick.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894; -105.063;;;;;;;;;;
Christmas Ale 2003;1380;39;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Anchor Brewing;1705 Mariposa Street;San Francisco;California;United States;37.7635; -122.401;;;;;;;;;;;
Old Stock Ale 2002;1381;919;1;13;11;39999962;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;North Coast Brewing Company;455 North Main Street;Fort Bragg;California;United States;39.4466; -123.806;http://www.northcoastbrewing.com/home.htm;;;;;;;;;
Ruination IPA;1382;1204;3;32;7;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Imperial or Double India Pale Ale;North American Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Prim��tor Double 24% / Prim��tor Double Bock Beer;1383;992;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Pivovar Nchod;Dobroovsk 130;Nchod;;Czech Republic;;;;;;;;;;;;;
Salvation;1384;62;5;72;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Avery Brewing Company;5763 Arapahoe Avenue;Boulder;Colorado;United States;40.0166; -105.219;http://www.averybrewing.com/;;;;;;;;;;
Schokolade Bock;1385;865;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Millstream Brewing;835 48th Avenue;Amana;Iowa;United States;41.7972; -91.8652;;;;;;;;;;;
Winterkoninkse;1386;286;-1;-1;8;300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Kerkom;Naamsesteenweg 469;Kerkom;Limburg;Belgium;50.7763; 5.166;;;;;;;;;;
Toasted Oats & Molasses Brown Ale;1387;1268;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
Gouyasse / Goliath;1388;184;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie des Gants;rue du Castel;19;Irchonwelz;Hainaut;Belgium;50.6204; 3.7592;;;;;;;;;;
Pumpkin Ale;1389;676;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hops Haven Brew Haus;1327 North 14th Street;Sheboygan;Wisconsin;United States;43.7594; -87.7228;;;;;;;;;;;
Long Leg English Fuggles Hop Ale;139;335;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Camerons Brewery Company;Lion Brewery;Harltepool;Cleveland;United Kingdom;41.4995; -81.6954;;;;;;;;;;;
Port Washington Old Port Porter;1390;676;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Hops Haven Brew Haus;1327 North 14th Street;Sheboygan;Wisconsin;United States;43.7594; -87.7228;;;;;;;;;;;
Maslifter Oktoberfest;1392;676;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Hops Haven Brew Haus;1327 North 14th Street;Sheboygan;Wisconsin;United States;43.7594; -87.7228;;;;;;;;;;;
Port Washington Amber Ale;1393;676;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Hops Haven Brew Haus;1327 North 14th Street;Sheboygan;Wisconsin;United States;43.7594; -87.7228;;;;;;;;;;;
Port Washington Pier 96 Lager;1394;676;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Hops Haven Brew Haus;1327 North 14th Street;Sheboygan;Wisconsin;United States;43.7594; -87.7228;;;;;;;;;;;
Munich Dunkel;1395;408;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Courthouse Pub;1001 South Eighth Street;Manitowoc;Wisconsin;United States;44.0886; -87.6576;;;;;;;;;;;
Reichelbr�_u Eisbock;1396;757;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Kulmbacher Brauerei AG;Lichtenfelser Strae 9;Kulmbach;Bayern;Germany;50.106; 11.4442;;;;;;;;;;;
Oktoberfest;1397;752;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;K̦stritzer Schwarzbierbrauerei;Heinrich-Schtz-Strae 16;Bad K̦stritz;Th�_ringen;Germany;;;;;;;;;;;;;
Tripel;1398;907;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;New Glarus Brewing Company;2400 State Highway 69;New Glarus;Wisconsin;United States;42.8171; -89.6306;http://www.newglarusbrewing.com/;;;;;;;;;;
Bruin Tradition / Brune Tradition;1399;194;-1;-1;8;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie La Binchoise;Rue Faubourg St Paul 38;Binche;Hainaut;Belgium;50.408; 4.1659;;;;;;;;;;
Imperial Stout;14;1099;3;42;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Samuel Smith Old Brewery (Tadcaster);High Street;Tadcaster;North Yorkshire;United Kingdom;53.8834; -1.2625;;;;;;;;;;;
Summer Lightning;140;671;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hop Back Brewery;Unit 21-24 Batten Road Industrial Estate;Salisbury;Wiltshire;United Kingdom;;;;;;;;;;;;;
Reserve Speciale / Sp̩ciale No��l;1400;194;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie La Binchoise;Rue Faubourg St Paul 38;Binche;Hainaut;Belgium;50.408; 4.1659;;;;;;;;;;;
Black Hook Porter;1401;1051;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Redhook Ale Brewery;;Seattle;Washington;United States;47.6062; -122.332;http://www.redhook.com/;;;;;;;;;;
Downtown Brown;1402;803;3;38;5;0;0;0;;A smooth; full-bodied nut brown ale; lightly hopped with a hint of roasted chocolate and crystal malts.  This ale is dark in color without the heavy taste of porter or stout.;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Lost Coast Brewery;617 Fourth Street;Eureka;California;United States;40.8032; -124.165;http://www.lostcoast.com/;;;;;;;;
Autumnal Fire;1403;338;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Capital Brewery;7734 Terrace Avenue;Middleton;Wisconsin;United States;43.0949; -89.5163;http://www.capital-brewery.com/;;;;;;;;;;
Hacker-Pschorr Hubertus Bock;1404;972;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Paulaner;;Munich;;Germany;48.1391; 11.5802;http://www.paulaner.com/;;;;;;;;;;
Goudenband 2002;1405;287;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Liefmans;200 Aalststraat;Oudenaarde;Oost-Vlaanderen;Belgium;50.8439; 3.617;http://www.liefmans.be/;;;;;;;;;;
Pale Ale;1406;932;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Oasis Brewery and Restaurant;;Boulder;Colorado;United States;40.015; -105.271;;;;;;;;;;;
Prim��tor Blonde Bock Beer;1407;992;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Pivovar Nchod;Dobroovsk 130;Nchod;;Czech Republic;;;;;;;;;;;;;
Princess of Darkness Porter;1408;1268;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
Tyskie Gronie;1409;1302;-1;-1;5;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Tyskie Browary Ksi�Ɂ_��ce;Mikolowska 5;Tychy;;Poland;;http://www.tyskie.pl/;;;;;;;;;;
Haymaker Extra Pale Ale;141;255;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311; -122.685;http://www.bridgeportbrew.com/;;;;;;;;;;
Roundhouse Rye;1410;1268;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
Oktoberfest;1411;586;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871; -87.6721;;;;;;;;;;;
Oktoberfest;1412;769;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Ultra Ambr̩e;1413;168;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie d'Ecaussinnes;rue Restaumont;118;Ecaussinnes;Hainaut;Belgium;50.5593; 4.1365;;;;;;;;;;
Edison Light Beer;1414;906;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;New Century Brewing Company;PO Box 1498;Boston;Massachusetts;United States;42.3587; -71.0574;;;;;;;;;;;
James Squire Australian Best Ale Limited Release;1415;820;-1;-1;6;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Malt Shovel Brewery;99 Pyrmont Bridge Road;Camperdown;New South Wales;Australia;-33.8867; 151.174;http://www.maltshovel.com.au/;;;;;;;;;
Sprecher Oktoberfest;1416;1181;7;84;5;75;0;0;0;;Traditionally brewed to celebrate the harvest season; this reddish-brown lager has a rich caramel character and a long flavorful finish. Its delicious malty sweetness is nicely accented by a slighty fruity bouquet and a mild hop flavor.;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Sprecher Brewing;701 West Glendale Avenue;Glendale;Wisconsin;United States;43.1; -87.9198;http://www.sprecherbrewery.com/;;;;;;;;
Samuel Adams Triplebock 1995;1417;157;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Boston Beer Company;30 Germania Street;Boston;Massachusetts;United States;42.3144; -71.1034;http://www.samueladams.com/;;;;;;;;;;
Hoptoberfest;1418;1051;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Redhook Ale Brewery;;Seattle;Washington;United States;47.6062; -122.332;http://www.redhook.com/;;;;;;;;;;
Festbier;1419;88;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Bayerische Staatsbrauerei Weihenstephan;Alte Akademie 2;Freising;Bayern;Germany;48.3952; 11.7288;;;;;;;;;;;
Pale Ale;142;447;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713; -123.007;;;;;;;;;;;
Lizard Lager;1420;1200;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Stevens Point Brewery;2617 Water Street;Stevens Point;Wisconsin;United States;44.5104; -89.5734;;;;;;;;;;;
William Capen Bitter Ale;1421;1153;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Slab City Brewing;;Bonduel;Wisconsin;United States;44.7403; -88.4448;;;;;;;;;;;
Full Tilt IPA;1422;632;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Harbor City Brewing;535 West Grand Avenue;Port Washington;Wisconsin;United States;43.3871; -87.8795;;;;;;;;;;;
Christmas Ale;1423;637;-1;-1;8;100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Harvey & Son (Lewes);6 Cliffe High Street;Lewes;East Sussex;United Kingdom;50.8742; 0.0167;;;;;;;;;;
Tripel Reserve;1424;23;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Allagash Brewing;100 Industrial Way;Portland;Maine;United States;43.7028; -70.3166;http://www.allagash.com/;;;;;;;;;;
Hop Rod Rye;1425;94;3;32;8;0;0;0;;Essentially a strong American IPA made with 20% rye malt. Darker in color; Hop Rod Rye boasts a huge hop aroma and flavor accompanied by a slightly sweet; malty finish.;0;2010-07-22 22:00:00+02:00;Imperial or Double India Pale Ale;North American Ale;Bear Republic Brewery;345 Healdsburg Avenue;Healdsburg;California;United States;38.6112; -122.871;http://www.bearrepublic.com/;;;;;;;;
Northern Glory Premium Ale;1426;554;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Frederic Robinson Ltd.;Unicorn Brewery;Stockport;Cheshire;United Kingdom;41.499; -72.9007;;;;;;;;;;;
Riggwelter Yorkshire Ale;1427;134;-1;-1;5;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Black Sheep Brewery;Wellgarth;Ripon;North Yorkshire;United Kingdom;;;;;;;;;;;;
Trappist Blond;1428;270;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Achelse Kluis;De Kluis 1;Achel;Limburg;Belgium;51.2986; 5.4896;;;;;;;;;;;
Lucifer;1429;786;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Liefmans Breweries;Wontergemstraat 42;Dentergem;West-Vlaanderen;Belgium;50.9649; 3.422;;;;;;;;;;;
Silk Lady;143;447;3;26;4;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713; -123.007;;;;;;;;;;
Tie Die Red;1430;971;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Park City Brewing;375 West 910 South;Heber City;Utah;United States;40.496; -111.42;;;;;;;;;;;
Saranac Hefeweizen;1431;512;4;50;5;599999905;0;0;0;;This traditional style German Wheat beer (pronounced) Hah-fuh-vite-zen) remains unfiltered to preserve it's natural smooth flavor and aroma. Don't be alarmed by its cloudy appearance or noticeable sediment. The slight banana and clove aroma comes from the authentic German Hefeweizen yeast. It has a light refreshing finish.;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;F.X. Matt Brewing;811 Edward Street;Utica;New York;United States;43.1045; -75.2452;http://www.saranac.com;;;;;;;;;
Chief Blackhawk Porter;1432;1301;2;25;5;599999905;0;0;0;;"In 1767 a great Sauk leader was born.  His name meant ""the black sparrow hawk.""  He came to be known as Black Hawk.  Strong beliefs, independent thinking and an unwavering commitment to his family and his people earned him a reputation as a man of integrity and courage.  In 1832, along with 1,200 of his people, Black Hawk was driven from his ancestral home during a war that bears his name.  We celebrate this Sauk leader and his courage with our BlackHawk Porter, the kind of beer that make you say, Ma-ka-tai-she-kia-kiak!   Chief BlackHawk Porter is a robust black and sharply bittersweet ale.  This style was traditionally the session beer consumed by the porters in London.";0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Tyranena Brewing;1025 Owen Street;Lake Mills;Wisconsin;United States;43.0862; -88.8967;http://www.tyranena.com;;;;;;;;;
Dort;1433;619;7;90;6;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Gulpener Bierbrouwerij;Rijksweg 16;Gulpen;;Netherlands;50.8109; 5.9213;;;;;;;;;;
8-Ball Stout;1434;803;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Lost Coast Brewery;617 Fourth Street;Eureka;California;United States;40.8032; -124.165;http://www.lostcoast.com/;;;;;;;;;;
Milkhouse Stout;1435;1153;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Slab City Brewing;;Bonduel;Wisconsin;United States;44.7403; -88.4448;;;;;;;;;;;
Old 47 Ale;1436;1153;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Slab City Brewing;;Bonduel;Wisconsin;United States;44.7403; -88.4448;;;;;;;;;;;
Shawano Gold;1437;1153;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Slab City Brewing;;Bonduel;Wisconsin;United States;44.7403; -88.4448;;;;;;;;;;;
